model,sampler,fold,tn,fp,fn,tp
LightGBM,No Sampling,12,136,14,24,26
LightGBM,No Sampling,13,135,16,18,31
LightGBM,No Sampling,14,136,15,27,22
LightGBM,No Sampling,15,138,13,24,25
LightGBM,Cost Sensitive,1,134,16,19,31
LightGBM,Cost Sensitive,2,138,12,25,25
LightGBM,Cost Sensitive,3,131,20,17,32
LightGBM,Cost Sensitive,4,138,13,21,28
LightGBM,Cost Sensitive,5,126,25,10,39
LightGBM,Cost Sensitive,6,130,20,16,34
LightGBM,Cost Sensitive,7,132,18,19,31
LightGBM,Cost Sensitive,8,131,20,18,31
LightGBM,Cost Sensitive,9,131,20,22,27
LightGBM,Cost Sensitive,10,133,18,17,32
LightGBM,Cost Sensitive,11,126,24,17,33
LightGBM,Cost Sensitive,12,132,18,21,29
LightGBM,Cost Sensitive,13,131,20,12,37
LightGBM,Cost Sensitive,14,136,15,20,29
LightGBM,Cost Sensitive,15,136,15,21,28
LightGBM,RandomOverSampler,1,135,15,17,33
LightGBM,RandomOverSampler,2,138,12,24,26
LightGBM,RandomOverSampler,3,130,21,17,32
LightGBM,RandomOverSampler,4,135,16,19,30
LightGBM,RandomOverSampler,5,125,26,13,36
LightGBM,RandomOverSampler,6,131,19,20,30
LightGBM,RandomOverSampler,7,129,21,20,30
LightGBM,RandomOverSampler,8,129,22,17,32
LightGBM,RandomOverSampler,9,132,19,19,30
LightGBM,RandomOverSampler,10,130,21,16,33
LightGBM,RandomOverSampler,11,127,23,13,37
LightGBM,RandomOverSampler,12,134,16,16,34
LightGBM,RandomOverSampler,13,130,21,14,35
LightGBM,RandomOverSampler,14,135,16,26,23
LightGBM,RandomOverSampler,15,137,14,24,25
LightGBM,SMOTE,1,134,16,21,29
LightGBM,SMOTE,2,138,12,26,24
LightGBM,SMOTE,3,132,19,15,34
LightGBM,SMOTE,4,135,16,21,28
LightGBM,SMOTE,5,127,24,10,39
LightGBM,SMOTE,6,132,18,15,35
LightGBM,SMOTE,7,132,18,21,29
LightGBM,SMOTE,8,129,22,21,28
LightGBM,SMOTE,9,133,18,23,26
LightGBM,SMOTE,10,134,17,20,29
LightGBM,SMOTE,11,125,25,13,37
