model,sampler,fold,accuracy,precision,recall,f1,roc_auc,pr_auc,fp_per_tp,train_time_sec,tn,fp,fn,tp
ANN,RandomUnderSampler,4,0.6637122002085506,0.12205270457697642,0.88,0.2143727161997564,0.8323707370737073,0.16862605949425039,7.193181818181818,3.7686254629998075,1185,633,12,88
ANN,RandomUnderSampler,5,0.6470281543274244,0.12089356110381078,0.92,0.21370499419279906,0.8425412541254126,0.2043873250343683,7.271739130434782,3.6576116899996123,1149,669,8,92
ANN,RandomUnderSampler,6,0.6352266805627931,0.11636828644501279,0.91,0.20634920634920634,0.8202556349642661,0.16464639467187106,7.593406593406593,4.374695331000112,1128,691,9,91
ANN,RandomUnderSampler,7,0.669098488796248,0.12691771269177127,0.91,0.22276621787025705,0.8515365585486532,0.19231849770287843,6.8791208791208796,3.6378284630000053,1193,626,9,91
ANN,RandomUnderSampler,8,0.6722251172485669,0.12588401697312587,0.89,0.22057001239157373,0.8234084661902145,0.17377703799192704,6.943820224719101,3.6683947530000296,1201,618,11,89
ANN,RandomUnderSampler,9,0.6595411887382691,0.1278600269179004,0.95,0.22538552787663108,0.8291694169416941,0.1833764863674145,6.821052631578947,4.273803019000297,1170,648,5,95
ANN,RandomUnderSampler,10,0.6981230448383733,0.13657056145675264,0.9,0.23715415019762845,0.8471864686468646,0.18682825439123885,6.322222222222222,3.6340138320001643,1249,569,10,90
ANN,RandomUnderSampler,11,0.6466909848879625,0.12369791666666667,0.95,0.21889400921658986,0.8421550302363935,0.17150484847707853,7.08421052631579,3.7516644679999445,1146,673,5,95
ANN,RandomUnderSampler,12,0.6367899947889526,0.117797695262484,0.92,0.20885357548240635,0.8304260582737768,0.2013684343130038,7.489130434782608,4.141523051000149,1130,689,8,92
ANN,RandomUnderSampler,13,0.6852527357998958,0.13049853372434017,0.89,0.22762148337595908,0.834180868609126,0.1813452446273376,6.662921348314606,3.618466888000512,1226,593,11,89
ANN,RandomUnderSampler,14,0.6553701772679875,0.12348993288590604,0.92,0.21775147928994082,0.8277667766776677,0.16553449431437153,7.0978260869565215,3.934632874000272,1165,653,8,92
ANN,RandomUnderSampler,15,0.6517205422314911,0.1193029490616622,0.89,0.21040189125295508,0.8437898789878987,0.19900266479664572,7.382022471910112,4.043251156999759,1161,657,11,89
ANN,NearMiss,1,0.24179260031266284,0.04129993229519296,0.61,0.07736207989854153,0.33318306761957117,0.03588331481120353,23.21311475409836,3.7376222360007887,403,1416,39,61
ANN,NearMiss,2,0.25794684731631057,0.04155124653739612,0.6,0.07772020725388601,0.3236833424958769,0.03535112458841362,23.066666666666666,4.173114191999957,435,1384,40,60
ANN,NearMiss,3,0.20531526836894215,0.03823720025923526,0.59,0.07181984175289105,0.303565145684442,0.03440661442997406,25.152542372881356,3.9065836600002513,335,1484,41,59
ANN,NearMiss,4,0.23879040667361837,0.039918809201623814,0.59,0.07477820025348543,0.31992849284928493,0.03553971521571715,24.050847457627118,3.599708422000731,399,1419,41,59
ANN,NearMiss,5,0.24556830031282587,0.039644565960355434,0.58,0.07421625079974409,0.3253355335533553,0.03540516801936423,24.224137931034484,4.295738139000605,413,1405,42,58
ANN,NearMiss,6,0.2433559145388223,0.03443526170798898,0.5,0.06443298969072164,0.3076882902693788,0.034657345445405205,28.04,3.6560728730000847,417,1402,50,50
ANN,NearMiss,7,0.29598749348619074,0.037009622501850484,0.5,0.06891798759476224,0.32425233644859813,0.03569037238536285,26.02,3.7630692939992514,518,1301,50,50
ANN,NearMiss,8,0.24544033350703492,0.04149659863945578,0.61,0.07770700636942675,0.31628642111050026,0.035268329657457985,23.098360655737704,4.8112419480003155,410,1409,39,61
ANN,NearMiss,9,0.23044838373305526,0.04316069057104914,0.65,0.08094645080946451,0.3385588558855886,0.0360727335857559,22.16923076923077,3.654407299000013,377,1441,35,65
ANN,NearMiss,10,0.20333680917622524,0.0417201540436457,0.65,0.07840772014475271,0.29994224422442245,0.03420763887722793,22.96923076923077,3.6426557260001573,325,1493,35,65
ANN,NearMiss,11,0.27670661803022406,0.03802008608321377,0.53,0.07095046854082998,0.3397855964815833,0.036148249698708716,25.30188679245283,4.599237311000252,478,1341,47,53
ANN,NearMiss,12,0.19749869723814487,0.041401273885350316,0.65,0.07784431137724551,0.32565420560747665,0.035411230052246306,23.153846153846153,3.5703394209995167,314,1505,35,65
ANN,NearMiss,13,0.1938509640437728,0.04237824161922834,0.67,0.07971445568114217,0.30624793842770753,0.03481273125685019,22.597014925373134,3.683488480000051,305,1514,33,67
ANN,NearMiss,14,0.2664233576642336,0.03816254416961131,0.54,0.07128712871287128,0.32605060506050604,0.035402910546228766,25.203703703703702,4.583317793999413,457,1361,46,54
ANN,NearMiss,15,0.23670490093847757,0.03918918918918919,0.58,0.07341772151898734,0.3133168316831683,0.034791938124426436,24.517241379310345,3.7573581509996075,396,1422,42,58
ANN,TomekLinks,1,0.9478895257946848,0.0,0.0,0.0,0.8381968114348544,0.17437037868750194,inf,14.889764034999644,1819,0,100,0
ANN,TomekLinks,2,0.9478895257946848,0.0,0.0,0.0,0.8307091808686092,0.18290771767464625,inf,16.401374264999504,1819,0,100,0
ANN,TomekLinks,3,0.9478895257946848,0.0,0.0,0.0,0.8282490379329301,0.18353732631753727,inf,15.397329010000249,1819,0,100,0
ANN,TomekLinks,4,0.9478623566214807,0.0,0.0,0.0,0.822018701870187,0.15836050692733084,inf,13.801438342000438,1818,0,100,0
ANN,TomekLinks,5,0.9478623566214807,0.0,0.0,0.0,0.8433498349834982,0.2117937372437789,inf,15.240403765999872,1818,0,100,0
ANN,TomekLinks,6,0.9478895257946848,0.0,0.0,0.0,0.8133727322704782,0.1641064536610078,inf,15.86885533900022,1819,0,100,0
ANN,TomekLinks,7,0.9478895257946848,0.0,0.0,0.0,0.8554617921935129,0.25873851233699147,inf,15.298932661000435,1819,0,100,0
ANN,TomekLinks,8,0.9478895257946848,0.0,0.0,0.0,0.8290214403518417,0.18642546197006896,inf,16.470154368000294,1819,0,100,0
ANN,TomekLinks,9,0.9478623566214807,0.0,0.0,0.0,0.8315374037403741,0.159691187840737,inf,17.472611801000312,1818,0,100,0
ANN,TomekLinks,10,0.9478623566214807,0.0,0.0,0.0,0.8425880088008801,0.1948186237871478,inf,17.619053492999228,1818,0,100,0
ANN,TomekLinks,11,0.9478895257946848,0.0,0.0,0.0,0.8400164925783398,0.17523362281565652,inf,16.847490017999007,1819,0,100,0
ANN,TomekLinks,12,0.9478895257946848,0.0,0.0,0.0,0.8331748213304013,0.2200983191552209,inf,17.56475749600031,1819,0,100,0
ANN,TomekLinks,13,0.9478895257946848,0.0,0.0,0.0,0.8352941176470587,0.1947927566709209,inf,16.396841427000254,1819,0,100,0
ANN,TomekLinks,14,0.9478623566214807,0.0,0.0,0.0,0.836608910891089,0.18758495500529632,inf,15.923098946999744,1818,0,100,0
ANN,TomekLinks,15,0.9478623566214807,0.0,0.0,0.0,0.8455060506050606,0.20292976437893623,inf,16.46331961299984,1818,0,100,0
ANN,ClusterCentroids,1,0.6597186034392913,0.12885906040268458,0.96,0.2272189349112426,0.8382023089609676,0.17817751394628276,6.760416666666667,3.815073198000391,1170,649,4,96
ANN,ClusterCentroids,2,0.6472120896300156,0.11989459815546773,0.91,0.21187427240977882,0.8221055525013744,0.1980273901622789,7.34065934065934,4.96093379299964,1151,668,9,91
ANN,ClusterCentroids,3,0.6612819176654507,0.12635869565217392,0.93,0.22248803827751196,0.8300357339197361,0.17836966913734206,6.913978494623656,3.754629961998944,1176,643,7,93
ANN,ClusterCentroids,4,0.6631908237747653,0.12292817679558012,0.89,0.21601941747572814,0.8324807480748074,0.16827084742642417,7.134831460674158,3.8964917289995356,1183,635,11,89
ANN,ClusterCentroids,5,0.6548488008342023,0.11716621253405994,0.86,0.20623501199040767,0.8382398239823982,0.1944569085578115,7.534883720930233,3.8273175450012786,1170,648,14,86
ANN,ClusterCentroids,6,0.651902032308494,0.12032085561497326,0.9,0.21226415094339623,0.8336146234194612,0.19502720121658948,7.311111111111111,3.6679986710005323,1161,658,10,90
ANN,ClusterCentroids,7,0.6409588327253778,0.11901681759379043,0.92,0.21076746849942726,0.8599092908191314,0.23350214504508077,7.4021739130434785,4.800871638000899,1138,681,8,92
ANN,ClusterCentroids,8,0.6638874413757165,0.12100139082058414,0.87,0.21245421245421245,0.8148927982407916,0.1616989756069015,7.264367816091954,3.7275478539995675,1187,632,13,87
ANN,ClusterCentroids,9,0.6454640250260688,0.12239583333333333,0.94,0.21658986175115208,0.8240264026402639,0.1569199325830626,7.170212765957447,4.35663791800107,1144,674,6,94
ANN,ClusterCentroids,10,0.6611053180396246,0.12737127371273713,0.94,0.2243436754176611,0.8431600660066005,0.1955267486191248,6.851063829787234,4.192615104000652,1174,644,6,94
ANN,ClusterCentroids,11,0.6456487754038561,0.12239583333333333,0.94,0.21658986175115208,0.8365640461792193,0.17357634369122124,7.170212765957447,3.678674630000387,1145,674,6,94
ANN,ClusterCentroids,12,0.6388744137571651,0.11642949547218628,0.9,0.20618556701030927,0.8307504123144585,0.21317418517363015,7.588888888888889,4.092305694999595,1136,683,10,90
ANN,ClusterCentroids,13,0.6706618030224075,0.12640449438202248,0.9,0.22167487684729065,0.8342193512919186,0.1762386803483436,6.911111111111111,3.6692326680004044,1197,622,10,90
ANN,ClusterCentroids,14,0.6548488008342023,0.12533333333333332,0.94,0.2211764705882353,0.8260396039603959,0.1756482423382982,6.9787234042553195,4.640011456998764,1162,656,6,94
ANN,ClusterCentroids,15,0.6475495307612096,0.12303664921465969,0.94,0.2175925925925926,0.8457480748074807,0.20232348597432862,7.127659574468085,3.7455242039995937,1148,670,6,94
ANN,SMOTETomek,1,0.7430953621677957,0.14076782449725778,0.77,0.23802163833075735,0.8167949422759758,0.1457672869103405,6.103896103896104,24.954252481998992,1349,470,23,77
ANN,SMOTETomek,2,0.7477853048462741,0.1264591439688716,0.65,0.21172638436482086,0.8052666300164926,0.15712948762537257,6.907692307692308,28.812180083001294,1370,449,35,65
ANN,SMOTETomek,3,0.7441375716519021,0.1318267419962335,0.7,0.2218700475435816,0.8157971412864211,0.17896724273807726,6.585714285714285,28.24450056400019,1358,461,30,70
ANN,SMOTETomek,4,0.7309697601668405,0.11764705882352941,0.64,0.19875776397515527,0.7920352035203521,0.15009907345481402,7.5,28.548225309999907,1338,480,36,64
ANN,SMOTETomek,5,0.7440041710114703,0.12903225806451613,0.68,0.21690590111642744,0.8025907590759076,0.16046876626061707,6.75,28.53391118699983,1359,459,32,68
ANN,SMOTETomek,6,0.7290255341323606,0.11818181818181818,0.65,0.2,0.7874134139637163,0.13748596468506427,7.461538461538462,29.75258741199832,1334,485,35,65
ANN,SMOTETomek,7,0.7498697238144867,0.1455223880597015,0.78,0.24528301886792453,0.8445656954370534,0.21896831559185811,5.871794871794871,28.3323113309998,1361,458,22,78
ANN,SMOTETomek,8,0.764460656591975,0.14081632653061224,0.69,0.23389830508474577,0.8242660802638813,0.18711153497347793,6.101449275362318,28.659504113000366,1398,421,31,69
ANN,SMOTETomek,9,0.7194994786235662,0.12627986348122866,0.74,0.21574344023323616,0.8112513751375138,0.1405306973476012,6.918918918918919,28.756518541000332,1306,512,26,74
ANN,SMOTETomek,10,0.7601668404588112,0.13709677419354838,0.68,0.22818791946308725,0.8120379537953795,0.16437879351439655,6.294117647058823,27.871738595998977,1390,428,32,68
ANN,SMOTETomek,11,0.7186034392912976,0.11672473867595819,0.67,0.19881305637982197,0.7967564595931831,0.16274342041044831,7.567164179104478,27.755063750000772,1312,507,33,67
