model,sampler,fold,tn,fp,fn,tp
CatBoost,RandomOverSampler,5,1693,125,67,33
CatBoost,RandomOverSampler,6,1662,157,62,38
CatBoost,RandomOverSampler,7,1678,141,55,45
CatBoost,RandomOverSampler,8,1672,147,60,40
CatBoost,RandomOverSampler,9,1652,166,63,37
CatBoost,RandomOverSampler,10,1680,138,58,42
CatBoost,RandomOverSampler,11,1686,133,60,40
CatBoost,RandomOverSampler,12,1671,148,57,43
CatBoost,RandomOverSampler,13,1682,137,68,32
CatBoost,RandomOverSampler,14,1694,124,63,37
CatBoost,RandomOverSampler,15,1660,158,60,40
CatBoost,SMOTE,1,1800,19,98,2
CatBoost,SMOTE,2,1808,11,95,5
CatBoost,SMOTE,3,1808,11,96,4
CatBoost,SMOTE,4,1807,11,95,5
CatBoost,SMOTE,5,1807,11,98,2
CatBoost,SMOTE,6,1805,14,95,5
CatBoost,SMOTE,7,1811,8,97,3
CatBoost,SMOTE,8,1801,18,95,5
CatBoost,SMOTE,9,1806,12,98,2
CatBoost,SMOTE,10,1814,4,97,3
CatBoost,SMOTE,11,1809,10,96,4
CatBoost,SMOTE,12,1809,10,92,8
CatBoost,SMOTE,13,1806,13,97,3
CatBoost,SMOTE,14,1810,8,98,2
CatBoost,SMOTE,15,1802,16,95,5
CatBoost,ADASYN,1,1801,18,95,5
CatBoost,ADASYN,2,1808,11,96,4
CatBoost,ADASYN,3,1806,13,97,3
CatBoost,ADASYN,4,1807,11,95,5
CatBoost,ADASYN,5,1805,13,98,2
CatBoost,ADASYN,6,1805,14,96,4
CatBoost,ADASYN,7,1810,9,99,1
CatBoost,ADASYN,8,1803,16,95,5
CatBoost,ADASYN,9,1808,10,98,2
CatBoost,ADASYN,10,1811,7,98,2
CatBoost,ADASYN,11,1807,12,96,4
CatBoost,ADASYN,12,1810,9,93,7
CatBoost,ADASYN,13,1804,15,97,3
CatBoost,ADASYN,14,1810,8,98,2
CatBoost,ADASYN,15,1799,19,96,4
CatBoost,BorderlineSMOTE,1,1794,25,97,3
CatBoost,BorderlineSMOTE,2,1807,12,96,4
CatBoost,BorderlineSMOTE,3,1805,14,97,3
CatBoost,BorderlineSMOTE,4,1805,13,92,8
CatBoost,BorderlineSMOTE,5,1806,12,97,3
CatBoost,BorderlineSMOTE,6,1800,19,94,6
CatBoost,BorderlineSMOTE,7,1809,10,95,5
CatBoost,BorderlineSMOTE,8,1801,18,95,5
CatBoost,BorderlineSMOTE,9,1799,19,97,3
CatBoost,BorderlineSMOTE,10,1815,3,98,2
CatBoost,BorderlineSMOTE,11,1806,13,96,4
CatBoost,BorderlineSMOTE,12,1807,12,92,8
CatBoost,BorderlineSMOTE,13,1807,12,96,4
CatBoost,BorderlineSMOTE,14,1806,12,97,3
CatBoost,BorderlineSMOTE,15,1797,21,94,6
CatBoost,RandomUnderSampler,1,1257,562,16,84
CatBoost,RandomUnderSampler,2,1300,519,16,84
CatBoost,RandomUnderSampler,3,1322,497,22,78
CatBoost,RandomUnderSampler,4,1277,541,18,82
CatBoost,RandomUnderSampler,5,1264,554,10,90
CatBoost,RandomUnderSampler,6,1265,554,23,77
CatBoost,RandomUnderSampler,7,1292,527,15,85
CatBoost,RandomUnderSampler,8,1276,543,23,77
CatBoost,RandomUnderSampler,9,1296,522,23,77
CatBoost,RandomUnderSampler,10,1307,511,18,82
CatBoost,RandomUnderSampler,11,1276,543,14,86
CatBoost,RandomUnderSampler,12,1305,514,18,82
CatBoost,RandomUnderSampler,13,1314,505,23,77
CatBoost,RandomUnderSampler,14,1306,512,23,77
CatBoost,RandomUnderSampler,15,1245,573,15,85
CatBoost,NearMiss,1,433,1386,25,75
